source,benchmark_id,method,scope,n_tiles,iou_slick,precision,recall,pixel_accuracy
classical,BASELINE_CLASSICAL,felzenszwalb,full_dataset,173,0.2924308293232072,0.5756050189313657,0.3728130332697825,0.980017774566474
ml,BASELINE_ML,TinyUNet,test_split,22,0.6049092704184063,0.9677691689701656,0.6173463626492942,0.9956041666666664
hybrid,BASELINE_HYBRID,felzenszwalb+rf,test_split,22,0.4587153901474256,0.7692974521332633,0.5318827361563472,0.9931576704545452
classical,BASELINE_CLASSICAL,felzenszwalb,test_split,22,0.3744615144287074,0.5484472760231914,0.541368078175891,0.9901407196969696
