fold,n_test,accuracy,precision,recall,f1,roc_auc
0,156,0.8974358974358975,0.8780487804878049,0.9230769230769231,0.9,0.9668803418803419
1,156,0.8589743589743589,0.9117647058823529,0.7948717948717948,0.8493150684931506,0.9237343852728469
2,154,0.7792207792207793,0.8115942028985508,0.7272727272727273,0.7671232876712328,0.8770450328891888
3,152,0.6513157894736842,0.5982905982905983,0.9210526315789473,0.7253886010362695,0.8104224376731302
4,152,0.875,0.9384615384615385,0.8026315789473685,0.8652482269503546,0.9427804709141275
mean,770,0.8123893650209439,0.827631965204169,0.8337811311495523,0.8214150368302015,0.9041725337259271
