,importance
MAX,0.2794721300228564
MEAN,0.19617407710813406
MEDIAN,0.1627995120815338
STD,0.10810281119408043
VAR,0.09249745689201033
MIN,0.08639084245503151
VAR_COEF,0.07456317024635357
