fold,n_test,accuracy,precision,recall,f1,roc_auc
0,156,0.8846153846153846,1.0,0.7692307692307693,0.8695652173913043,0.9582511505588428
1,156,0.8717948717948718,0.8372093023255814,0.9230769230769231,0.8780487804878049,0.938198553583169
2,154,0.8116883116883117,0.9444444444444444,0.6623376623376623,0.7786259541984732,0.8394332939787487
3,152,0.6118421052631579,0.5702479338842975,0.9078947368421053,0.700507614213198,0.7647160664819944
4,152,0.7960526315789473,1.0,0.5921052631578947,0.743801652892562,0.8763850415512466
mean,770,0.7951986609881347,0.8703803361308647,0.770929070929071,0.7941098438366685,0.8753968212308003
