feature,importance
AREA_KM2,0.13263094878186452
PERIM_KM,0.11090477688867464
PERI_AREA_RATIO,0.10438601271020882
FG_BG_MW_STAT,0.0828635568914426
FG_MIN,0.05767631759457487
BG_MIN,0.039097966063645566
CIRCULARITY,0.03848689980151605
FG_DARK_INTENS,0.035177402520436454
FG_BG_RAT_QUA,0.030938519843736408
FG_STD,0.028408710148110028
BG_VAR,0.028115239155618203
BG_STD,0.027188193948678416
FG_VAR,0.0271367666964814
SHP_FACT,0.026311665871935497
FG_BG_RAT_ARI,0.024839781354449142
COMPLEX_MEAS,0.024479248897562294
BG_MAX,0.02179595692059998
BG_MEDIAN,0.01787913526608335
BG_MEAN,0.015253065332809061
FG_MEAN,0.01406560335637067
FG_MAX,0.01379958169965564
FG_MEDIAN,0.013203178656745813
FG_BG_KS_STAT,0.011673176355513341
BG_VAR_COEF,0.01163825398824295
SPREAD,0.008763437945539939
HU_MOM2,0.008753685635995247
HU_MOM1,0.008455920232833954
FG_VAR_COEF,0.007124502952574858
HU_MOM5,0.007032248105492329
HU_MOM6,0.00635574929700958
HU_MOM7,0.006294468513706783
HU_MOM4,0.005136331814240913
HU_MOM3,0.004074057875337674
FG_BG_MW_RES_DIFF,5.9638882313023147e-05
FG_BG_KS_RES_DIFF,8.080624879256273e-17
