fold,accuracy,precision,recall,f1,roc_auc
0,0.9713774597495528,0.5625,0.5,0.5294117647058824,0.9299650852331074
1,0.9588014981273408,0.5,0.6363636363636364,0.56,0.953125
2,0.9839857651245552,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.9197080291970803
3,0.9909255898366606,1.0,0.16666666666666666,0.2857142857142857,0.9648318042813455
4,0.9717514124293786,0.3125,0.5555555555555556,0.4,0.9708386547467007
mean,0.9753683450534976,0.6464285714285715,0.4574314574314574,0.46931092436974786,0.9476937146916468
