fold,accuracy,precision,recall,f1,roc_auc
0,0.9695885509838998,0.5714285714285714,0.2222222222222222,0.32,0.927654549188745
1,0.9644194756554307,0.6666666666666666,0.2727272727272727,0.3870967741935484,0.9611594460227273
2,0.9804270462633452,1.0,0.21428571428571427,0.35294117647058826,0.9723018769551617
3,0.9891107078039928,0.0,0.0,0.0,0.9954128440366973
4,0.9830508474576272,0.5,0.3333333333333333,0.4,0.9691358024691358
mean,0.9773193256328593,0.5476190476190477,0.20851370851370848,0.2920075901328273,0.9651329037344935
