TILE_ID,ALGORITHM,POLY_IDX,CENTR_KM_LAT,CENTR_KM_LON,UTM_ZONE,AREA_KM2,PERIM_KM,COMPLEX_MEAS,SPREAD,SHP_FACT,HU_MOM1,HU_MOM2,HU_MOM3,HU_MOM4,HU_MOM5,HU_MOM6,HU_MOM7,CIRCULARITY,PERI_AREA_RATIO,AREA_KM_DS,PERIM_KM_DS,FG_STD,FG_VAR,FG_MIN,FG_MAX,FG_MEAN,FG_MEDIAN,FG_VAR_COEF,BG_STD,BG_VAR,BG_MIN,BG_MAX,BG_MEAN,BG_MEDIAN,BG_VAR_COEF,FG_DARK_INTENS,FG_BG_KS_STAT,FG_BG_KS_RES,FG_BG_MW_STAT,FG_BG_MW_RES,FG_BG_RAT_ARI,FG_BG_RAT_QUA,label,max_iou,scene,split
IMG_01_TILE_001,felzenszwalb,0,19.42531580263225,-92.03351510785336,15Q,0.0202530158132284,1.0869307183960344,58.3329612482338,1.259636784467618,4.641989563922193,2.964629897120096,6.480826327123181,9.937429947897115,11.623357994590108,-22.79572080066919,-15.126731360566025,22.442768544131575,0.2154248703556028,53.66759836755261,0.0202530158132284,1.0869307183960344,3.0609903286635736,9.369661792171932,-26.527359008789062,-12.558935165405272,-18.68658447265625,-18.85289001464844,-0.1638068387052041,2.221167931517127,4.933586980000072,-27.921751022338867,-12.938592910766602,-16.927820542279413,-16.791500091552734,-0.131214052392006,1.758763930376837,0.4302832186222076,DIFF,1656.0,DIFF,1.1038978040668277,1.1091029971997308,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,1,19.424987751198863,-91.96738113663643,15Q,0.0337563078854526,1.5498746612373655,71.16037315742206,1.1345668773384263,5.662762570133772,3.063817887427072,7.643967163352564,10.042272453358729,11.131955300489544,-21.776320939879792,-15.54889695153861,22.0365492057536,0.1765922529180623,45.91363091297338,0.0337563078854526,1.5498746612373655,1.913272967326488,3.660613447502304,-24.781932830810547,-15.091094970703123,-19.25101318359375,-19.164100646972656,-0.0993855725451911,2.355050856799514,5.5462645381121245,-23.651765823364254,-12.202117919921877,-16.9860595703125,-16.666048049926758,-0.1386460966447786,2.26495361328125,0.5177777409553528,DIFF,2814.0,DIFF,1.1333419532654192,1.1281341843912185,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,2,19.423502536595787,-92.0615625072797,15Q,0.0202529398769595,1.313288913980667,85.15937844394794,0.4948723943530546,6.776768014993857,2.828384882095883,5.844836743370752,10.388678400970916,11.905468324746932,-23.052553426401616,-14.841188821713995,25.18611294152559,0.147562967743246,64.84435948356874,0.0202529398769595,1.313288913980667,2.443158243569968,5.969022203123893,-22.49820899963379,-12.339579582214355,-18.66278754340278,-18.769723892211918,-0.1309106819058021,1.802055914741522,3.247405519854904,-21.66328239440918,-11.371123313903809,-16.28924665779903,-16.037010192871094,-0.1106285608290378,2.3735408856037488,0.4734993278980255,DIFF,1348.0,DIFF,1.1457120482598044,1.1484811526750425,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,3,19.423325605257965,-91.96415056372936,15Q,0.0356320780455333,1.3592057123421353,51.84766844366168,1.2245930969498688,4.125906360299217,3.0897467592292407,7.208290687740331,9.753024614822667,11.450298444383566,22.293058585084395,-15.2942838433975,22.138747649497528,0.2423709877718791,38.1455639664136,0.0356320780455333,1.3592057123421353,2.474274110037282,6.122032371600783,-26.149311065673828,-13.012328147888184,-18.625526829769736,-18.6185302734375,-0.1328431744589675,2.1649151685696086,4.686857687102777,-23.38619613647461,-11.623485565185549,-17.153723018685568,-17.08218765258789,-0.1262067229493775,1.4718038110841682,0.32121542096138,DIFF,3054.0,DIFF,1.085800797382359,1.0867191155828937,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,4,19.409179281027715,-92.04554349079427,15Q,0.0318826364190709,1.424512456477158,63.64704950951855,0.7285721975431156,5.064871271327235,3.067196658724437,7.106400622543564,11.062266515036692,12.028955480880969,-23.582247112345,-15.587432360222152,24.30407411275115,0.1974383842016093,44.67988273469978,0.0318826364190709,1.424512456477158,2.184196524842149,4.77071445913252,-24.19888687133789,-13.487911224365234,-19.44871897977941,-19.58073234558105,-0.1123054185272063,1.764665486728405,3.114044280050399,-21.425447463989254,-12.09030818939209,-16.560946937368698,-16.55318260192871,-0.1065558324292768,2.887772042410713,0.5966386795043945,DIFF,1559.0,DIFF,1.1743723838047488,1.1751027541035397,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,5,19.40745887515345,-91.9831885536357,15Q,0.0240068159283402,1.6213405528102798,109.49995184842004,0.7585356704172376,8.713729302500283,2.909538899573491,6.57386963709702,9.55498118820542,11.884556137904625,-22.65835725044574,-15.173224191551569,-22.93283094338028,0.1147614259388415,67.53667615272009,0.0240068159283402,1.6213405528102798,2.4199001803074904,5.855916882652224,-26.644899368286133,-12.216254234313965,-19.107635498046875,-18.91469955444336,-0.1266457160832299,1.9964378484644207,3.9857640827812455,-23.969425201416016,-11.752294540405272,-16.633630049856084,-16.582439422607422,-0.1200241824833475,2.474005448190791,0.625,DIFF,863.0,DIFF,1.148735201090727,1.1496596392743026,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,6,19.402846103610464,-92.03102219689436,15Q,0.0217562062512097,1.275656106455335,74.79697899289306,1.3389487215398388,5.952154467529794,2.9881772036081697,6.709024772677219,9.86327665640832,10.25421832918631,20.316632479644685,13.744681443000395,-21.201038547014285,0.1680063925516722,58.63412452179718,0.0217562062512097,1.275656106455335,2.861076050950534,8.185756169322703,-30.555185317993164,-12.49809455871582,-19.032062398976294,-19.338029861450195,-0.150329270205862,2.231276437829332,4.978594542012354,-25.04817008972168,-12.811402320861816,-16.9320788774334,-16.739669799804688,-0.1317780559599869,2.0999835215428924,0.4615601897239685,DIFF,1802.0,DIFF,1.124024107529561,1.1269114443527746,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,7,19.39864313561519,-91.96586765686062,15Q,0.0660228439842596,3.374286125928845,172.4525357064346,0.505693644410919,13.723336753205324,2.7203794479409487,5.595885154816321,10.292273384078506,10.452293249739157,20.862743459846797,13.360775851771132,21.22091432127942,0.0728685754772018,51.10785786103522,0.0660228439842596,3.374286125928845,2.9399031414394297,8.643030481045427,-30.596378326416016,-12.383883476257324,-18.309084805575285,-18.37062644958496,-0.1605707315607715,2.320076663352859,5.382755723834537,-31.520326614379883,-11.912012100219728,-16.705076671781995,-16.369640350341797,-0.138884526478822,1.6040081337932897,0.3614718914031982,DIFF,18873.0,DIFF,1.0960191839857478,1.099505095201632,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,8,19.398553897130416,-91.98515123885362,15Q,0.0393882214411852,1.742718925916599,77.10602671620694,1.8091050439279543,6.135902647030039,2.938162656623569,6.241092883145724,9.299766316211516,10.350114280170745,-20.837923739466422,-13.779709467631733,-20.18556162534945,0.1629752063429543,44.244671684880174,0.0393882214411852,1.742718925916599,2.987226035560078,8.92351938752798,-24.26116752624512,-11.53159236907959,-18.35816127232143,-18.78473472595215,-0.162719239211822,2.4697152492231687,6.099493412245458,-30.82616806030273,-11.314783096313477,-17.149781265879064,-17.0013427734375,-0.1440085567818217,1.2083800064423649,0.3421603143215179,DIFF,4557.0,DIFF,1.0704603778649635,1.073465483136858,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,9,19.397424244272187,-91.98932079063336,15Q,0.0281345724808744,1.9354561149726413,133.14545211346206,1.0497794349775091,10.595378427031363,2.5589565047349314,5.535849807943312,7.849619318048762,8.663522193499995,17.204371937818056,12.008490797949667,16.988445993509806,0.0943807724176003,68.79280345519183,0.0281345724808744,1.9354561149726413,2.078887828760973,4.321774604570513,-25.203800201416016,-13.441247940063477,-19.870914713541666,-19.78836441040039,-0.1046196342106108,2.1078953995070564,4.443223015263014,-24.883256912231445,-12.28297233581543,-16.92134402749317,-16.691650390625,-0.1245702112126688,2.949570686048496,0.6464481353759766,DIFF,4081.0,DIFF,1.17431064968445,1.171663941863887,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,10,19.39679315414521,-92.04921723875528,15Q,0.0427633360010781,2.124093841334713,105.50567539170244,1.5817117964141236,8.395874881419193,2.9282009028074576,6.225422102261214,10.514234385338105,10.968988272461116,22.22765739136633,-14.77471563778344,21.73166317505125,0.1191061103367664,49.6709106436682,0.0427633360010781,2.124093841334713,3.985371753458553,15.8831880132653,-48.72295379638672,-12.956724166870115,-18.888376336348685,-18.48739051818848,-0.2109959947054382,1.655695313747037,2.741326971963899,-20.712862014770508,-12.211417198181152,-16.258781566954497,-16.217105865478516,-0.1018339109193883,2.6295947693941883,0.5,DIFF,3064.0,DIFF,1.161733747820097,1.1812031341160425,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,11,19.39469068847664,-92.04692583949031,15Q,0.0191312317457938,0.9279554641355104,45.010240577336056,0.5675403212076711,3.5818011388192192,3.057474321626135,6.570090633811585,10.871061002154471,11.72945206837048,23.20468864371592,15.49400336893358,23.15823794388704,0.2791891456960285,48.50474221763207,0.0191312317457938,0.9279554641355104,2.6418787425211057,6.979523290184899,-24.2120418548584,-11.471827507019045,-18.256354836856616,-18.613704681396484,-0.1447100895074399,1.925675622109669,3.708226601587461,-24.80306053161621,-12.954803466796877,-16.662280981091484,-16.761884689331055,-0.1155709487971631,1.5940738557651315,0.4671781957149505,DIFF,1039.0,DIFF,1.0956696202828824,1.0997621912587554,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,12,19.39280011644077,-92.07228573009724,15Q,0.0202565675814287,1.045219052144159,53.93227962109062,1.1454989797475552,4.291794446955433,2.895964845987496,6.074782110244271,9.801193137174348,10.64884509005516,-22.706305697533413,-13.826419650706322,20.87391118424273,0.233002771302198,51.599020808560745,0.0202565675814287,1.045219052144159,2.931460244171997,8.593459163160945,-25.28607177734375,-13.656830787658691,-19.53630009403935,-19.567113876342773,-0.1500519663427162,2.39506824201654,5.736351883916199,-28.95108795166016,-11.657983779907228,-16.737747491574755,-16.491249084472656,-0.1430938209112152,2.7985526024645964,0.5490195751190186,DIFF,1162.0,DIFF,1.167200188360193,1.1683661171926285,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,13,19.39119865176996,-91.9852033720851,15Q,0.0352633949172492,1.6336133278310505,75.67883101243437,1.4976741668842883,6.022330021522579,2.980239766272528,6.685215012941708,9.43406806912716,11.593221444176235,22.20227617828774,-15.182782300556427,22.33140753734152,0.1660486882031047,46.326036720643806,0.0352633949172492,1.6336133278310505,2.989273035914133,8.935753283243296,-28.121644973754883,-11.9277925491333,-18.466700777094413,-18.271411895751957,-0.161873692111909,2.543517667238875,6.469482123556288,-29.32330894470215,-12.83921718597412,-17.70669934640523,-17.32956886291504,-0.143647193498841,0.7600014306891829,0.2019190490245819,DIFF,5867.0,DIFF,1.042921847341001,1.0457630612114697,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,14,19.387680828352504,-91.9966209664252,15Q,0.0303869926894781,1.3532319159905135,60.26383186939869,1.0580234259163683,4.795643365836849,3.048536766688482,6.826393773625957,9.985466523402854,11.598854322621078,22.60464247480669,16.012528653915975,22.492689632108817,0.208522595137868,44.53326230137567,0.0303869926894781,1.3532319159905135,2.9415392391618465,8.652653095528853,-28.21090316772461,-12.914215087890623,-18.95116283275463,-19.218647003173828,-0.1552168204727668,2.378806746682108,5.658721538060313,-28.198366165161133,-11.76630401611328,-17.063559835271317,-16.704124450683594,-0.1394085858781344,1.887602997483313,0.3976457118988037,DIFF,3022.0,DIFF,1.1106217574243031,1.113155926166823,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,15,19.38917560955529,-92.10643878033076,15Q,0.07765057817736,2.567619302509319,84.90173592217516,3.5291566341435354,6.756265474548457,2.667723486731598,5.41985737778893,10.103556358750236,10.919811982977803,-21.43797143090288,-13.630408088516678,-22.19747372701768,0.1480107618279806,33.06632561891134,0.07765057817736,2.567619302509319,3.2125370908774387,10.320394560263278,-31.31945037841797,-11.916714668273926,-18.565795308725846,-18.21940803527832,-0.173035253133894,2.018525558393475,4.074445429887689,-22.24099922180176,-11.526354789733888,-16.692400365093953,-16.545604705810547,-0.1209248229280722,1.8733949436318935,0.3049161434173584,DIFF,9822.0,DIFF,1.112230464223953,1.12059502476903,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,16,19.3857907619044,-92.0601202121847,15Q,0.027010054363456,1.196186748981947,52.97518913460328,0.5907254211536148,4.2156316060000885,2.8804783811605192,5.9752566549830375,9.494641150125885,9.720654923250189,19.328389885150767,12.708311869187272,21.027150698276863,0.2372123784670142,44.286721266298514,0.027010054363456,1.196186748981947,2.3301659978805804,5.429673577678802,-26.33285522460937,-13.166057586669922,-18.721911960177952,-18.64222717285156,-0.1244619674975991,2.337227658569393,5.462633127981768,-24.28680419921875,-10.65525245666504,-16.378387451171875,-16.185321807861328,-0.1427019397078779,2.343524509006077,0.515625,DIFF,2019.0,DIFF,1.1430864003670789,1.1403535528453976,0,0.0,IMG_01,train
IMG_01_TILE_001,felzenszwalb,17,19.38546008895068,-92.00437217679884,15Q,0.0326381719296632,1.470506928501264,66.2534234892282,0.5907146466259172,5.272279922535677,2.9879586538812832,6.407768199954823,9.590879636979592,10.002920298840024,19.806683874006087,13.23978435043371,20.553343976524665,0.1896712645558953,45.05481899140283,0.0326381719296632,1.470506928501264,2.516736236123327,6.333961282216212,-30.31008720397949,-14.026509284973145,-19.13091549928161,-18.683258056640625,-0.1315533611665282,2.1982720362080634,4.832399945174346,-24.06283950805664,-12.728951454162598,-17.05241058566046,-16.920516967773438,-0.1289126851107263,2.078504913621149,0.3673269748687744,DIFF,3137.0,DIFF,1.1218891862013167,1.1222686368376025,0,0.0,IMG_01,train
