tile_id,benchmark_id,method,n_detected,status
IMG_12_TILE_006,BASELINE_CLASSICAL,felzenszwalb,30,ok
IMG_12_TILE_007,BASELINE_CLASSICAL,felzenszwalb,8,ok
IMG_12_TILE_008,BASELINE_CLASSICAL,felzenszwalb,42,ok
IMG_12_TILE_009,BASELINE_CLASSICAL,felzenszwalb,49,ok
IMG_12_TILE_010,BASELINE_CLASSICAL,felzenszwalb,27,ok
IMG_12_TILE_011,BASELINE_CLASSICAL,felzenszwalb,26,ok
IMG_12_TILE_012,BASELINE_CLASSICAL,felzenszwalb,28,ok
IMG_12_TILE_013,BASELINE_CLASSICAL,felzenszwalb,35,ok
IMG_12_TILE_014,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_13_TILE_001,BASELINE_CLASSICAL,felzenszwalb,34,ok
IMG_13_TILE_002,BASELINE_CLASSICAL,felzenszwalb,38,ok
IMG_13_TILE_003,BASELINE_CLASSICAL,felzenszwalb,5,ok
IMG_13_TILE_004,BASELINE_CLASSICAL,felzenszwalb,30,ok
IMG_13_TILE_005,BASELINE_CLASSICAL,felzenszwalb,8,ok
IMG_13_TILE_006,BASELINE_CLASSICAL,felzenszwalb,17,ok
IMG_13_TILE_007,BASELINE_CLASSICAL,felzenszwalb,31,ok
IMG_13_TILE_008,BASELINE_CLASSICAL,felzenszwalb,35,ok
IMG_13_TILE_009,BASELINE_CLASSICAL,felzenszwalb,5,ok
IMG_14_TILE_001,BASELINE_CLASSICAL,felzenszwalb,36,ok
IMG_14_TILE_002,BASELINE_CLASSICAL,felzenszwalb,12,ok
IMG_14_TILE_003,BASELINE_CLASSICAL,felzenszwalb,8,ok
IMG_15_TILE_001,BASELINE_CLASSICAL,felzenszwalb,19,ok
IMG_16_TILE_001,BASELINE_CLASSICAL,felzenszwalb,17,ok
IMG_16_TILE_002,BASELINE_CLASSICAL,felzenszwalb,12,ok
IMG_17_TILE_001,BASELINE_CLASSICAL,felzenszwalb,11,ok
IMG_17_TILE_002,BASELINE_CLASSICAL,felzenszwalb,48,ok
IMG_17_TILE_003,BASELINE_CLASSICAL,felzenszwalb,26,ok
IMG_17_TILE_004,BASELINE_CLASSICAL,felzenszwalb,31,ok
IMG_17_TILE_005,BASELINE_CLASSICAL,felzenszwalb,50,ok
IMG_17_TILE_006,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_17_TILE_007,BASELINE_CLASSICAL,felzenszwalb,12,ok
IMG_18_TILE_001,BASELINE_CLASSICAL,felzenszwalb,7,ok
IMG_18_TILE_002,BASELINE_CLASSICAL,felzenszwalb,9,ok
IMG_18_TILE_003,BASELINE_CLASSICAL,felzenszwalb,17,ok
IMG_18_TILE_004,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_18_TILE_005,BASELINE_CLASSICAL,felzenszwalb,18,ok
IMG_19_TILE_001,BASELINE_CLASSICAL,felzenszwalb,54,ok
IMG_19_TILE_002,BASELINE_CLASSICAL,felzenszwalb,35,ok
IMG_19_TILE_003,BASELINE_CLASSICAL,felzenszwalb,32,ok
IMG_19_TILE_004,BASELINE_CLASSICAL,felzenszwalb,49,ok
IMG_19_TILE_005,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_19_TILE_006,BASELINE_CLASSICAL,felzenszwalb,7,ok
IMG_19_TILE_007,BASELINE_CLASSICAL,felzenszwalb,24,ok
IMG_19_TILE_008,BASELINE_CLASSICAL,felzenszwalb,52,ok
IMG_19_TILE_009,BASELINE_CLASSICAL,felzenszwalb,20,ok
IMG_19_TILE_010,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_19_TILE_011,BASELINE_CLASSICAL,felzenszwalb,40,ok
IMG_19_TILE_012,BASELINE_CLASSICAL,felzenszwalb,52,ok
IMG_19_TILE_013,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_19_TILE_014,BASELINE_CLASSICAL,felzenszwalb,24,ok
IMG_19_TILE_015,BASELINE_CLASSICAL,felzenszwalb,37,ok
IMG_19_TILE_016,BASELINE_CLASSICAL,felzenszwalb,7,ok
IMG_19_TILE_017,BASELINE_CLASSICAL,felzenszwalb,15,ok
IMG_19_TILE_018,BASELINE_CLASSICAL,felzenszwalb,41,ok
IMG_19_TILE_019,BASELINE_CLASSICAL,felzenszwalb,3,ok
IMG_20_TILE_001,BASELINE_CLASSICAL,felzenszwalb,15,ok
IMG_20_TILE_002,BASELINE_CLASSICAL,felzenszwalb,34,ok
IMG_20_TILE_003,BASELINE_CLASSICAL,felzenszwalb,18,ok
IMG_20_TILE_004,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_20_TILE_005,BASELINE_CLASSICAL,felzenszwalb,44,ok
IMG_20_TILE_006,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_21_TILE_001,BASELINE_CLASSICAL,felzenszwalb,36,ok
IMG_21_TILE_002,BASELINE_CLASSICAL,felzenszwalb,34,ok
IMG_21_TILE_003,BASELINE_CLASSICAL,felzenszwalb,43,ok
IMG_21_TILE_004,BASELINE_CLASSICAL,felzenszwalb,27,ok
IMG_21_TILE_005,BASELINE_CLASSICAL,felzenszwalb,43,ok
IMG_21_TILE_006,BASELINE_CLASSICAL,felzenszwalb,34,ok
IMG_21_TILE_007,BASELINE_CLASSICAL,felzenszwalb,36,ok
IMG_21_TILE_008,BASELINE_CLASSICAL,felzenszwalb,23,ok
IMG_21_TILE_009,BASELINE_CLASSICAL,felzenszwalb,25,ok
IMG_21_TILE_010,BASELINE_CLASSICAL,felzenszwalb,30,ok
IMG_21_TILE_011,BASELINE_CLASSICAL,felzenszwalb,51,ok
IMG_21_TILE_012,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_21_TILE_013,BASELINE_CLASSICAL,felzenszwalb,12,ok
IMG_21_TILE_014,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_21_TILE_015,BASELINE_CLASSICAL,felzenszwalb,32,ok
IMG_21_TILE_016,BASELINE_CLASSICAL,felzenszwalb,22,ok
IMG_21_TILE_017,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_21_TILE_018,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_22_TILE_001,BASELINE_CLASSICAL,felzenszwalb,22,ok
IMG_22_TILE_002,BASELINE_CLASSICAL,felzenszwalb,42,ok
IMG_22_TILE_003,BASELINE_CLASSICAL,felzenszwalb,27,ok
IMG_22_TILE_004,BASELINE_CLASSICAL,felzenszwalb,6,ok
IMG_22_TILE_005,BASELINE_CLASSICAL,felzenszwalb,37,ok
IMG_22_TILE_006,BASELINE_CLASSICAL,felzenszwalb,32,ok
IMG_23_TILE_001,BASELINE_CLASSICAL,felzenszwalb,11,ok
IMG_23_TILE_002,BASELINE_CLASSICAL,felzenszwalb,28,ok
