benchmark_id,method,scope,n_tiles,iou_slick,precision,recall,pixel_accuracy,tp,fp,fn,tn
BASELINE_CLASSICAL,felzenszwalb,full_dataset,173,0.2924308293232072,0.5756050189313657,0.3728130332697825,0.980017774566474,685781,505628,1153696,80694895
BASELINE_CLASSICAL,felzenszwalb,test_split,22,0.3744615144287074,0.5484472760231914,0.541368078175891,0.9901407196969695,62325,51314,52800,10393561
